asin,group,format,book_title,author,publisher,release_date,status,tagline,book_title,vote_average,year,netflix_title,genre1,genre2,genre3,genre4
1405246413,book,hardcover,Go, Diego, Go! Annual 2010,1999-04-09,Released,A weekend wasted is never a wasted weekend.,Go,7.0,1999.0,Go,Crime,Comedy,Thriller,
1498756301,book,hardcover,Faster, Better, Cheaper in the History of Manufacturing: From the Stone Age to Lean Manufacturing and Beyond,2010-11-23,Released,Slow Justice is no Justice,Faster,6.1,2003.0,Faster,Crime,Drama,Action,Thriller
1477117350,book,paperback,Girl," You Ain't Gonna Make It""",: So They Said,1998-11-05,Released,A straight-A teen explores Seattle's rock scene.,Girl,4.7,1999.0,Girl,Comedy,Drama,Romance,Music
316199990,book,hardcover,Are We There Yet?,Dan Santat,"Little, Brown Books for Young Readers",2005-01-20,Released,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,Are We There Yet?,5.2,2005.0,Are We There Yet?,Adventure,Comedy,Family,Romance
816680566,book,hardcover,Frozen,Mary Casanova,Univ Of Minnesota Press,2010-02-05,Released,No one knows you're up there,Frozen,5.9,1997.0,Frozen,Thriller,,,
62194976,book,hardcover,Forbidden,Kimberley Griffiths Little,HarperCollins,1932-01-09,Released,Her Greatest Dramatic Role !,Forbidden,6.1,2000.0,Forbidden,Drama,,,
144240907X,book,hardcover,Fever,Lauren DeStefano,Simon & Schuster Children's Publishing,1999-05-16,Released,Who Can You Trust... When You No Longer Trust Yourself...,Fever,6.0,1999.0,Fever,Drama,Thriller,,
374378487,book,hardcover,Tuck Everlasting,Natalie Babbitt,"Farrar, Straus and Giroux",2002-10-11,Released,"If you could choose to live forever, would you?",Tuck Everlasting,6.4,2002.0,Tuck Everlasting,Drama,Family,Fantasy,Romance
1250044669,book,hardcover,Renegades,Marissa Meyer,Feiwel & Friends,1989-06-02,Released,,Renegades,5.2,1989.0,Renegades,Action,Crime,Thriller,
1484722264,book,hardcover,Zero Day,Jan Gangsei,Disney-Hyperion,2003-09-03,Released,,Zero Day,7.1,2003.0,Zero Day,Drama,,,
765302519,book,hardcover,Flashback,Gary Braver,Forge Books,1990-02-02,Released,A '60s radical. An uptight fed. It's gonna be a real trip!,Flashback,6.6,1990.0,Flashback,Action,Comedy,Crime,
1576878392,book,hardcover,Ali,"Steve Schapiro, Jack Olsen",powerHouse Books,2001-12-11,Released,Float like a butterfly and sting like a bee.,Ali,6.7,2001.0,Ali,Drama,,,
9888341286,book,hardcover,Romeo & Juliet,"William Shakespeare, Lisbeth Zwerger, Anthea Bell",minedition,2013-09-12,Released,The most dangerous love story ever told.,Romeo & Juliet,6.6,1968.0,Romeo & Juliet,Drama,Romance,,
